OBJECTID,CNSTRNT_TYPE_CD,TRVL_DRCT_CD,RTE_NM,CNSTRNT_DELAY_FLAG,CNSTRNT_DETOUR_FLAG,RDWAY_NM,CNSTRNT_METRO_FLAG,LMT_FROM_DSCR,LMT_TO_DSCR,COND_DSCR,FROM_RMKR_NBR,FROM_DISP_MS,TO_RMKR_NBR,TO_DISP_MS,CREATE_TS,ROW_UPDT_STAT_FLAG,TXDOT_COUNTY_NBR,HCRS_CNTYWIDE_FLAG,COND_START_TS,COND_END_TS,Latitude,Longitude
488,F,NS,FM0989,N,N,,N,2.4  Miles North of US0067,,Water over roadway. Travel discouraged. ,214,1.5,214,1.5,5/29/2015 18:11,1,19,,5/29/2015 18:10,5/29/2015 22:00,33.40712943,-94.11816193
489,F,E,US0175,N,N,,N,1.936 Miles East of SH0310 on US0175,,Water over roadway. Eastbound US175 exit ramp to Second Ave is closed due to high water. ,594,-0.504,594,-0.504,5/29/2015 23:35,0,57,,5/29/2015 23:45,6/1/2015 8:00,32.74462599,-96.72563029
490,Z,NS,FM0876,N,N,,N,7.467 Miles South of FM1493 on FM0876,,The roadway is closed due to high water. ,304,-0.202,304,-0.202,5/30/2015 0:28,1,71,,5/30/2015 0:26,5/31/2015 9:15,32.24424219,-96.91976054
491,Z,NS,FM0450,N,N,,N,2.3  Miles South of SH0154,,The roadway is closed due to flooding. Flooding at Little Cypress Road is closed to thru traffic.   Water over both directions of the roadway. ,274,0.25,274,0.25,5/30/2015 15:23,0,103,,5/30/2015 15:20,7/2/2015 16:15,32.64535609,-94.57027902
492,F,NS,FM0450,N,N,,N,2.3  Miles South of SH0154,,Water over roadway. Flooding at Little Cypress Road has water over roadway.   One lane is open.   Travel with caution. ,264,0,264,0,5/30/2015 18:11,0,103,,5/30/2015 18:06,5/30/2015 21:00,32.64535609,-94.57027902
493,F,W,SH0159,N,N,,N,0.587 Miles South of FM3346 on SH0159,,Low water crossings are flooding. SH 159 the access road that goes under the bridge for recreational activities are closed to the public.  Barricades are up with signs ,652,-0.117,652,-0.117,5/30/2015 9:19,0,237,,5/30/2015 8:59,6/1/2015 13:00,30.04451116,-96.10965447
494,F,W,FM0529,N,N,,N,1.692 Miles East of FM0331 on FM0529,,Low water crossings are flooding. FM 529 the access road that goes under the brazos water bridge for recreational activities are closed to the public.  barricades are up awith sign.  Main lanes are open,636,-0.118,636,-0.118,5/30/2015 9:24,0,237,,5/30/2015 9:20,6/1/2015 13:00,29.91515577,-96.11400342
495,F,W,SH0159,N,N,,N,0.587 Miles South of FM3346 on SH0159,,Low water crossings are flooding. SH 159 the access road that goes under the bridge for recreational activities are closed to the public.  Barricades are up with signs.  Main lanes are open ,652,-0.117,652,-0.117,5/30/2015 9:25,0,237,,5/30/2015 9:24,6/1/2015 13:00,30.04451116,-96.10965447
496,Z,EW,SH0072,N,N,,N,1.728 Miles East of US0087 on SH0072,,The roadway is closed due to high water. ,586,0.288,586,0.288,5/30/2015 15:04,0,62,,5/30/2015 15:01,5/31/2015 17:00,29.09026792,-97.32963838
497,F,EW,US0175,N,N,,N,1.936 Miles East of SH0310 on US0175,,Water over roadway. East And Westbound US175 exit ramp to Second Ave are  closed due to high water. ,594,-0.504,594,-0.504,5/30/2015 19:22,1,57,,5/30/2015 19:21,5/31/2015 17:00,32.74462599,-96.72563029
498,F,EW,US0090,Y,Y,,N,0.73 Miles East of SL0013 on US0090,,Low water crossings are flooding. Water over roadway. High water on road.  HWY 90 frontage roads closed at Leon Creek. ,566,-0.776,566,-0.776,5/31/2015 0:51,1,15,,5/31/2015 0:47,5/31/2015 23:00,29.40469446,-98.61635499
499,F,NS,IH0035,N,N,,N,1.603 Miles South of IH0410 on IH0035,,Low water crossings are flooding. Water over roadway. High water over roadway.  IH 35 frontage roads closed at Salado Creek. ,162,-0.325,162,-0.325,5/30/2015 23:05,0,15,,5/30/2015 23:00,5/31/2015 23:00,29.45265401,-98.4172228
500,F,NS,FM1829,Y,Y,,N,0.949 Miles North of SH0036 on FM1829,,The roadway is closed due to flooding. ,364,0.525,364,0.525,6/1/2015 7:49,0,50,,6/1/2015 7:48,6/24/2015 10:00,31.33579793,-97.64287019
501,F,W,FM0529,N,N,,N,1.692 Miles East of FM0331 on FM0529,,Low water crossings are flooding. FM 529 the access road that goes under the brazos water bridge for recreational activities are closed to the public.  barricades are up awith sign.  Main lanes are open,636,-0.118,636,-0.118,6/1/2015 11:43,0,237,,6/1/2015 11:42,6/2/2015 13:00,29.91515577,-96.11400342
502,Z,NS,SH0008,Y,Y,,N,6.68 Miles North of IH0030 on SH0008,,The roadway is closed due to flooding. Motorists should expect delays. Use alternate routeRoadway is closed due to flooding,202,0.052,202,0.052,6/1/2015 16:48,0,19,,6/1/2015 16:48,6/3/2015 19:00,33.56840229,-94.41307445
503,F,EW,SH0236,N,N,,N,1166.88 Feet South of PR0014 on SH0236,,"The bridge is closed, use alternate route. The roadway is closed due to flooding. The roadway is closed due to high water. ",368,-0.057,368,-0.057,6/1/2015 7:50,1,50,,6/1/2015 7:49,6/10/2015 10:00,31.31369049,-97.47275541
504,F,NS,FM1829,Y,Y,,N,0.949 Miles North of SH0036 on FM1829,,The roadway is closed due to flooding. ,364,0.525,364,0.525,6/1/2015 7:53,1,50,,6/1/2015 7:52,6/3/2015 10:00,31.33579793,-97.64287019
505,Z,NS,FM1159,N,N,,N,8  Miles West of SH0037,,The roadway is closed due to flooding. ,194,0,194,0,6/1/2015 8:13,0,194,,6/1/2015 8:12,6/2/2015 9:00,33.78524059,-94.94279424
506,Z,NS,IH0035,N,N,,N,1.8  Miles South of FM1202,,Exit ramp closed. MAIN LANES not affected. Water over roadway. Red River frontage road closed: underpass closed due to flooding.   Main lanes are not affected.  Motorists should use alternate route.  Please do not travel across high water.  ,504,-0.23,504,-0.23,6/1/2015 9:32,0,49,,6/1/2015 9:29,6/5/2015 17:00,33.72591898,-97.16072355
507,F,W,SH0159,N,N,,N,0.587 Miles South of FM3346 on SH0159,,Low water crossings are flooding. SH 159 the access road that goes under the bridge for recreational activities are closed to the public.  Barricades are up with signs.  Main lanes are open ,652,-0.117,652,-0.117,6/1/2015 11:42,1,237,,6/1/2015 11:41,6/1/2015 13:00,30.04451116,-96.10965447
508,F,EW,FM1462,N,N,,N,3.405 Miles West of PARKER SCHOOL  RD,3.405 Miles West of PARKER SCHOOL  RD,Water over roadway. Water over one lane of traffic,686,0,686,0,6/1/2015 12:09,0,20,,6/1/2015 12:08,6/5/2015 12:00,29.3756705,-95.31357696
509,Z,NS,US0259,Y,Y,,N,5.759 Miles North of FM0114 on US0259,,The roadway is closed due to flooding. Motorists should expect delays. Use alternate routeRoadway is closed due to flooding.  ,196,-0.366,196,-0.366,6/1/2015 16:43,0,19,,6/1/2015 16:41,6/5/2015 19:00,33.68565165,-94.69430149
510,Z,NS,SH0008,Y,Y,,N,6.68 Miles North of IH0030 on SH0008,,The roadway is closed due to flooding. Motorists should expect delays. Use alternate routeRoadway is closed due to flooding,202,0.052,202,0.052,6/1/2015 16:45,0,19,,6/1/2015 16:44,6/5/2015 19:00,33.56840229,-94.41307445
511,Z,NS,US0259,Y,Y,,N,5.759 Miles North of FM0114 on US0259,,The roadway is closed due to flooding. Motorists should expect delays. Use alternate routeRoadway is closed due to flooding.  ,196,-0.366,196,-0.366,6/1/2015 16:49,0,19,,6/1/2015 16:49,6/3/2015 19:00,33.68565165,-94.69430149
512,F,EW,FM1462,N,N,,N,3.405 Miles West of PARKER SCHOOL  RD,3.405 Miles West of PARKER SCHOOL  RD,"Water over roadway. Water over one lane of traffic.  From CR 42 to the Brazos River westbound, there is water on roadway.  It is passable but motorists should proceed with caution. ",686,0,686,0,6/1/2015 21:46,1,20,,6/1/2015 21:38,6/2/2015 12:00,29.3756705,-95.31357696
513,Z,NS,FM1159,N,N,,N,8  Miles West of SH0037,,The roadway is closed due to flooding. ,194,0,194,0,6/2/2015 7:56,0,194,,6/2/2015 7:56,6/3/2015 9:00,33.78524059,-94.94279424
514,F,W,FM0529,N,N,,N,1.692 Miles East of FM0331 on FM0529,,Low water crossings are flooding. FM 529 the access road that goes under the brazos water bridge for recreational activities are closed to the public.  barricades are up awith sign.  Main lanes are open,636,-0.118,636,-0.118,6/2/2015 9:33,1,237,,6/2/2015 9:32,6/3/2015 14:30,29.91515577,-96.11400342
515,Z,NS,US0059,N,N,,N,5.7  Miles North of IH0030,,The roadway is closed due to flooding. All lanes of traffic are closed due to high water.  ,204,0.1,204,0.1,6/2/2015 10:00,0,19,,6/2/2015 9:58,6/5/2015 17:15,33.54795467,-94.04364618
516,F,W,SH0159,N,N,,N,0.596 Miles South of FM3346 on SH0159,,Low water crossings are flooding. FM 529 access road that goes under Brazos river bridge to access river not frontage road main lane is open. ,652,-0.127,652,-0.127,6/2/2015 9:37,1,237,,6/2/2015 9:33,6/3/2015 14:00,30.04499727,-96.10906941
517,F,EW,FM1462,N,N,,N,3.405 Miles West of PARKER SCHOOL  RD,3.405 Miles West of PARKER SCHOOL  RD,"Water over roadway. Water over one lane of traffic.  From CR 42 to the Brazos River westbound, there is water on roadway.  It is passable but motorists should proceed with caution. ",686,0,686,0,6/2/2015 14:06,0,20,,6/2/2015 14:15,6/3/2015 14:00,29.3756705,-95.31357696
518,F,EW,FM1462,N,N,,N,3.8  Miles West of FM0762,3.405 Miles West of PARKER SCHOOL  RD,Water over roadway. Water over all lanes but passable at this time.  FM 1462 between CR 42 and the Brazos River and also at Oyster Creek.  ,670,-0.5,670,-0.5,6/3/2015 7:43,0,20,,6/3/2015 7:35,6/4/2015 23:45,29.35000195,-95.57793649
519,F,EW,FM1462,N,N,,N,2.3  Miles West of FM0762,3.405 Miles West of PARKER SCHOOL  RD,Water over roadway. Water over all lanes but passable at this time.  FM 1462 between CR 42 and the Brazos River and also at Oyster Creek.  ,670,-50,670,-50,6/3/2015 7:55,0,20,,6/3/2015 7:53,6/3/2015 23:45,29.35156207,-95.60271313
520,F,EW,FM1462,N,N,,N,2.3  Miles West of FM0762,3.405 Miles West of PARKER SCHOOL  RD,Water over roadway. Water over all lanes but passable at this time.  FM 1462 between CR 42 and the Brazos River and also at Oyster Creek.  ,670,-2,670,-2,6/3/2015 7:52,0,20,,6/3/2015 7:44,6/4/2015 23:45,29.35156207,-95.60271313
521,Z,NS,FM1159,N,N,,N,8  Miles West of SH0037,,The roadway is closed due to flooding. ,194,0,194,0,6/3/2015 8:47,1,194,,6/3/2015 8:47,6/4/2015 9:15,33.78524059,-94.94279424
522,Z,NS,SH0008,Y,Y,,N,6.68 Miles North of IH0030 on SH0008,,The roadway is closed due to flooding. Motorists should expect delays. Use alternate routeRoadway is closed due to flooding,202,0.052,202,0.052,6/3/2015 14:30,0,19,,6/3/2015 14:19,6/8/2015 17:15,33.56840229,-94.41307445
523,Z,NS,US0259,Y,Y,,N,5.759 Miles North of FM0114 on US0259,,The roadway is closed due to flooding. Motorists should expect delays. Use alternate routeRoadway is closed due to flooding.  ,196,-0.366,196,-0.366,6/3/2015 14:31,1,19,,6/3/2015 14:31,6/8/2015 17:15,33.68565165,-94.69430149
524,F,S,US0377,N,N,,N,0.9  Miles South of US0082,,Water over roadway. Travel down to one lane southbound at Mineral Creek. ,206,-0.139,206,-0.139,6/3/2015 14:00,0,92,,6/3/2015 13:44,6/4/2015 17:00,33.68930688,-96.90559154
525,Z,NS,FM0410,N,N,,N,2.487 Miles North of FM0195 on FM0410,,The roadway is closed due to high water. Water over road.   Closed at this time. ,188,0.478,188,0.478,6/4/2015 9:48,0,194,,6/4/2015 9:47,6/5/2015 10:30,33.88243296,-95.09223293
526,Z,NS,US0059,N,N,,N,5.7  Miles North of IH0030,,The roadway is closed due to flooding. All lanes of traffic are closed due to high water.  ,204,0.1,204,0.1,6/4/2015 13:26,0,19,,6/4/2015 13:25,6/8/2015 17:15,33.54795467,-94.04364618
527,Z,NS,FM0410,N,N,,N,2.487 Miles North of FM0195 on FM0410,,The roadway is closed due to high water. Water over road.   Closed at this time. ,188,0.478,188,0.478,6/5/2015 8:57,1,194,,6/5/2015 8:57,6/6/2015 9:45,33.88243296,-95.09223293
528,Z,NS,US0059,N,N,,N,5.7  Miles North of IH0030,,The roadway is closed due to flooding. All lanes of traffic are closed due to high water.  ,204,0.1,204,0.1,6/5/2015 18:34,0,19,,6/5/2015 18:33,6/12/2015 17:15,33.54795467,-94.04364618
529,F,S,IH0069,N,N,,N,1.53 Miles East of FM2759 on IH0069,,"Frontage road only, main lanes are open. Brazos River Turn Around southbound only closed; frontage road and main lanes are open.  Closure is due to river being out of banks from recent flooding conditions. ",536,-0.533,536,-0.533,6/8/2015 14:25,0,80,,6/8/2015 14:19,6/9/2015 15:15,29.56893525,-95.66691521
530,F,S,IH0069,N,N,,N,1.53 Miles East of FM2759 on IH0069,,"Frontage road only, main lanes are open. Brazos River Turn Around southbound only closed; frontage road and main lanes are open.  Closure is due to river being out of banks from recent flooding conditions. ",536,-0.533,536,-0.533,6/9/2015 15:07,1,80,,6/9/2015 15:07,6/10/2015 16:30,29.56893525,-95.66691521
531,F,S,IH0069,N,N,,N,1.53 Miles East of FM2759 on IH0069,,"Frontage road only, main lanes are open. Brazos River Turn Around southbound only closed; frontage road and main lanes are open.  Closure is due to river being out of banks from recent flooding conditions. ",536,-0.533,536,-0.533,6/9/2015 15:09,1,80,,6/9/2015 15:07,6/10/2015 16:30,29.56893525,-95.66691521
532,Z,NS,US0059,N,N,,N,5.7  Miles North of IH0030,,The roadway is closed due to flooding. All lanes of traffic are closed due to high water.  ,204,0.1,204,0.1,6/12/2015 7:00,0,19,,6/12/2015 6:59,6/15/2015 17:15,33.54795467,-94.04364618
533,F,NS,US0087,Y,N,,N,184.8 Feet North of SL0335 on US0087,,Low water crossings are flooding. Water over roadway. Motorists should expect delays. ,140,0.504,140,0.504,6/13/2015 22:25,1,188,,6/13/2015 22:23,6/14/2015 2:00,35.2661767,-101.8335039
534,Z,EW,FM0477,N,Y,,N,2.4  Miles East of SH0123,,The roadway is closed due to flooding. FM 477 AND FM 466 INTERSECTION CLOSED,526,0.382,526,0.382,6/14/2015 13:30,1,95,,6/14/2015 13:30,6/14/2015 19:00,29.52745771,-97.92184848
535,Z,EW,FM0467,N,Y,,N,3.704 Miles East of FM0539 on FM0467,,The roadway is closed due to high water. FM 467 AND CAMBELL CREEK CLOSED DUE TO FLOODING,522,-0.769,522,-0.769,6/14/2015 13:35,1,95,,6/14/2015 13:45,6/14/2015 19:00,29.4659712,-98.01832674
536,F,NS,SH0136,N,N,,N,538.56 Feet North of FM0293 on SH0136,,Low water crossings are flooding. SH136 flooded at FM 293,112,0.682,112,0.682,6/14/2015 20:15,1,188,,6/14/2015 20:10,6/15/2015 0:00,35.35458372,-101.6419413
537,F,EW,SH0236,N,N,,N,1166.88 Feet South of PR0014 on SH0236,,"The bridge is closed, use alternate route. The roadway is closed due to flooding. The roadway is closed due to high water. ",368,-0.057,368,-0.057,6/15/2015 15:59,1,50,,6/1/2015 7:49,6/22/2015 15:00,31.31369049,-97.47275541
538,F,EW,SH0332,N,N,,N,3.194 Miles East of FM0523 on SH0332,,Water over roadway. Travel discouraged. Motorists should expect delays. SH 332-Access roads on both sides under the Surfside Bridge have water over the roadway due to tidal surge.  ,692,-0.245,692,-0.245,6/16/2015 9:36,0,20,,6/16/2015 9:30,6/17/2015 9:30,28.95652205,-95.29367977
539,F,NS,FM1162,Y,N,,N,10.172 Miles East of US0059 on FM1162,,Water over roadway. ,524,-0.981,524,-0.981,6/17/2015 4:27,1,241,,6/17/2015 4:24,6/17/2015 8:00,29.12149411,-96.14918451
540,Z,NS,IH0035,N,Y,,N,3.145 Miles North of FM1202 on IH0035,,"Exit ramp closed. Frontage road only, main lanes are open. Water over roadway. Red River frontage road closed: underpass closed due to flooding.  Main lanes are not affected.   Please do not travel across high water.  Please use alternate route. ",504,-0.25,504,-0.25,6/17/2015 9:46,0,49,,6/17/2015 9:38,6/22/2015 17:00,33.72567106,-97.16090787
541,Z,S,US0059,Y,Y,,N,26.4 Feet East of SH0071 on US0059,,The roadway is closed due to flooding. Motorists should expect delays. Southbound US 59 closed south of El Campo.  All traffic must detour to SH 71,584,-0.323,584,-0.323,6/17/2015 11:43,0,241,,6/17/2015 11:41,6/17/2015 17:00,29.17781161,-96.26076821
542,Z,N,US0059,N,N,,N,79.2 Feet East of SH0111 on US0059,,The roadway is closed due to flooding. Motorists should expect delays. US 59 NB Closed at Edna.  Detour to SH 111 to US 77 to Hallettsville. ,612,-0.513,612,-0.513,6/17/2015 12:49,1,121,,6/17/2015 12:47,6/17/2015 19:00,28.98669461,-96.65042098
543,Z,S,US0059,Y,Y,,N,26.4 Feet East of SH0071 on US0059,,"The roadway is closed due to flooding. Motorists should expect delays. Southbound US 59 closed south of El Campo.  All traffic must detour to SH 71 north to US 90A, then west to US 77 at Hallettsville. ",584,-0.323,584,-0.323,6/17/2015 13:08,1,241,,6/17/2015 13:06,6/17/2015 19:00,29.17781161,-96.26076821
544,Z,NS,FM1125,N,N,,N,0 Feet North of US0081 on FM1125,,The roadway is closed due to flooding. Roadway is closed due to high water. ,216,-0.07,216,-0.07,6/17/2015 14:28,0,169,,6/17/2015 14:20,6/18/2015 13:15,33.55664361,-97.84382883
545,Z,NS,FM2583,N,N,,N,3.479 Miles South of SH0059 on FM2583,,The roadway is closed due to high water. Road is closed at the Boat Ramp,218,1.432,218,1.432,6/17/2015 14:31,1,169,,6/17/2015 14:28,6/18/2015 13:15,33.48397069,-97.88864614
546,F,NS,US0081,N,N,,N,31.68 Feet South of FM1806 on US0081,,"Water over roadway. Water is over the roadway at US81 North at FM1806.  The road is flooded, but passable at this time.  Please use extremem caution as those conditions could change rapidly. ",206,0.34,206,0.34,6/17/2015 14:38,1,169,,6/17/2015 14:31,6/18/2015 13:00,33.67540945,-97.90531153
547,Z,NS,SH0101,N,N,,N,1177.44 Feet East of FM3264 on SH0101,,The roadway is closed due to flooding. Hwy 101 at the Montague and Wise County line is closed due to high water. ,226,-0.182,226,-0.182,6/17/2015 18:11,0,169,,6/17/2015 18:09,6/18/2015 13:00,33.43557423,-97.79595486
548,F,N,US0059,N,N,,N,2.467 Miles West of SL0523 on US0059,,Water over roadway. Motorists should expect delays. Only one NB lane open.  All lanes could be closed soon.  Expect delays. ,598,0.169,598,0.169,6/17/2015 11:41,0,121,,6/17/2015 11:25,6/17/2015 17:00,29.07629477,-96.46023056
549,Z,N,US0059,N,N,,N,2.467 Miles West of SL0523 on US0059,,The roadway is closed due to flooding. Motorists should expect delays. Northbound lanes closed.  Detour in Ganado.  Expect delays. ,598,0.169,598,0.169,6/17/2015 12:26,0,121,,6/17/2015 12:24,6/17/2015 19:00,29.07629477,-96.46023056
550,F,EW,UA0090,Y,N,,N,0  Miles West of FM2764,,"Water over roadway. Motorists should expect delays. Water in WB lane on UA90 at FM2764 intersection.   Passable, just slow down and pay attention and allow extra travel time. ",636,-0.415,636,-0.415,6/17/2015 16:27,1,45,,6/17/2015 16:03,6/17/2015 19:00,29.56362818,-96.25314705
551,Z,NS,FM0437,Y,Y,,N,2.198 Miles North of FM2268 on FM0437,,The roadway is closed due to flooding. ,582,0.537,582,0.537,6/17/2015 16:57,0,166,,6/17/2015 16:55,6/18/2015 12:00,30.86936032,-97.24797417
552,Z,NS,FM1201,Y,Y,,N,0.742 Miles East of FS1201 on FM1201,,Low water crossings are flooding. The roadway is closed due to flooding. Use alternate routeRoad closed due to water going over spillway at Moss Lake Dam.  Road is closed and not passable.  DO NOT DRIVE INTO WATER,200,-0.107,200,-0.107,6/18/2015 2:26,0,49,,6/18/2015 2:30,6/19/2015 17:00,33.77834945,-97.21585436
553,Z,N,IH0035,N,Y,,N,0.875 Miles South of FM0051 on IH0035,,Exit ramp closed. MAIN LANES not affected. Water over roadway. Exit Ramp 496A is close due to water over exit ramp.  DO NOT DRIVE INTO WATER,496,-0.429,496,-0.429,6/18/2015 2:31,0,49,,6/18/2015 2:45,6/19/2015 18:00,33.61224167,-97.14988121
554,Z,NS,US0059,Y,Y,,N,1.988 Miles East of SL0522 on US0059,,The roadway is closed due to flooding. Follow the marked detourUS 59 is closed in both directions due to high water.  Follow detours. ,600,-0.744,600,-0.744,6/18/2015 3:59,0,121,,6/18/2015 3:57,6/18/2015 17:00,29.06712881,-96.47488504
555,F,NS,FM1125,N,N,,N,0 Feet North of US0081 on FM1125,,Water over roadway. Roadway is open.  Please exercise caution as conditions can change rapidly. ,216,-0.07,216,-0.07,6/18/2015 7:40,1,169,,6/18/2015 7:31,6/18/2015 13:00,33.55664361,-97.84382883
556,F,EW,FM0123,Y,N,,N,6.648 Miles East of FM0031 on FM0123,,Low water crossings are flooding. Travel discouraged. Motorists should expect delays. Water is over roadway and travel is discouraged. ,748,-0.227,748,-0.227,6/18/2015 8:16,0,183,,6/18/2015 8:14,6/18/2015 15:00,32.22528221,-94.05875188
557,F,NS,SH0101,N,N,,N,95.04 Feet South of FM3264 on SH0101,,Water over roadway. ,226,0.059,226,0.059,6/18/2015 9:44,1,249,,6/18/2015 9:42,6/22/2015 8:30,33.43312572,-97.79890043
558,F,NS,FM1655,N,N,,N,95.04 Feet South of FM2265 on FM1655,,Water over roadway. ,234,-0.113,234,-0.113,6/18/2015 9:46,0,249,,6/18/2015 9:44,6/22/2015 8:30,33.34815334,-97.7315949
559,Z,NS,FM0920,N,N,,N,1.945 Miles West of SH0114 on FM0920,,The roadway is closed due to high water. ,240,-0.055,240,-0.055,6/18/2015 9:48,1,249,,6/18/2015 9:46,6/22/2015 8:30,33.19382904,-97.78416251
560,Z,EW,FM3259,N,N,,N,1.444 Miles West of FM0051 on FM3259,,The roadway is closed due to high water. ,536,0.018,536,0.018,6/18/2015 9:49,1,249,,6/18/2015 9:48,6/22/2015 8:45,33.15866471,-97.6555676
561,F,EW,FM2260,N,N,,N,876.48 Feet West of FM0010 on FM2260,,Low water crossings are flooding. Water over roadway. Travel discouraged. Water is over roadway and travel is discouraged. ,728,1.5,728,1.5,6/18/2015 10:15,1,183,,6/18/2015 10:14,6/18/2015 12:00,32.03233481,-94.37598704
562,Z,NS,FM0373,N,N,,N,1129.92 Feet West of FM2382 on FM0373,,The roadway is closed due to flooding. FM373 is closed by FM2382 due to high water. ,198,-0.17,198,-0.17,6/18/2015 10:24,0,169,,6/18/2015 10:20,6/18/2015 13:00,33.80016053,-97.44062885
563,F,EW,UA0090,N,N,,N,543.84 Feet East of FM2764 on UA0090,,"Water over roadway. Motorists should expect delays. Use alternate routeWater on road UA90 and the FM 2764 intersection, still passable, but slow down, allow plenty of extra travel time and use caution when driving. ",636,-0.32,636,-0.32,6/18/2015 12:11,1,45,,6/18/2015 12:08,6/18/2015 23:00,29.56326784,-96.25161823
564,F,NS,SH0101,N,N,,N,1040.16 Feet East of FM3264 on SH0101,,Water over roadway. Travel with caution.  Water over the roadway. ,226,-0.156,226,-0.156,6/18/2015 13:55,1,169,,6/18/2015 13:52,6/19/2015 17:00,33.43535849,-97.79632237
565,Z,NS,FM0036,N,N,,N,0.869 Miles South of FM1564 on FM0036,,"The bridge is closed due to high winds. The bridge is closed, use alternate route. The roadway is closed due to flooding. High wate.  Road closed.  ",254,-0.236,254,-0.236,6/18/2015 14:05,0,117,,6/18/2015 13:54,6/19/2015 15:00,32.98977413,-96.1846959
566,Z,EW,FM1806,N,N,,N,0.83 Miles West of US0081 on FM1806,,The roadway is closed due to flooding. ,520,0.102,520,0.102,6/18/2015 14:06,1,169,,6/18/2015 14:01,6/19/2015 17:00,33.66918825,-97.91697365
567,Z,EW,FM2538,N,N,,N,1.561 Miles West of FM0775 on FM2538,,Main lanes closed. The roadway is closed due to flooding. FM 2538 at Cibolo is completely closed due to flooding. ,518,-0.036,518,-0.036,6/18/2015 7:11,1,95,,6/18/2015 7:15,6/19/2015 11:00,29.45322532,-98.12461128
568,Z,NS,FM1655,N,N,,N,6.236 Miles South of FM0455 on FM1655,,The roadway is closed due to high water. FM1655 closed at New Harp Loop about 2 miles north of the Wise County Line due to high water. ,222,0.993,222,0.993,6/18/2015 7:17,1,169,,6/18/2015 7:14,6/18/2015 13:00,33.45218636,-97.61695961
569,F,NS,SH0101,N,N,,N,1177.44 Feet East of FM3264 on SH0101,,"Water over roadway. Hwy 101 at the Montague and Wise County line is passable, but still has water over the roadway.  Please use extreme caution as conditions can change rapidly. ",226,-0.182,226,-0.182,6/18/2015 7:21,1,169,,6/18/2015 7:14,6/18/2015 13:00,33.43557423,-97.79595486
570,F,NS,FM1125,N,N,,N,0 Feet North of US0081 on FM1125,,Water over roadway. Roadway is open.  Please exercise caution as conditions can change rapidly. ,216,-0.07,216,-0.07,6/18/2015 7:45,0,169,,6/18/2015 7:43,6/18/2015 13:00,33.55664361,-97.84382883
571,Z,NS,FM1125,N,N,,N,0 Feet North of US0081 on FM1125,,The roadway is closed due to flooding. Roadway is closed due to high water. ,216,-0.07,216,-0.07,6/18/2015 7:59,1,169,,6/18/2015 7:57,6/18/2015 7:58,33.55664361,-97.84382883
572,Z,NS,US0059,Y,Y,,N,1.988 Miles East of SL0522 on US0059,,The roadway is closed due to flooding. Follow the marked detourUS 59 is closed in both directions due to high water.  Follow detours. ,596,-0.744,596,-0.744,6/18/2015 9:24,1,121,,6/18/2015 8:58,6/18/2015 22:00,29.06712881,-96.47488504
573,Z,NS,FM0373,N,N,,N,1129.92 Feet West of FM2382 on FM0373,,The roadway is closed due to flooding. FM373 is closed by FM2382 due to high water. ,198,-0.17,198,-0.17,6/18/2015 11:25,1,169,,6/18/2015 11:20,6/26/2015 17:00,33.80016053,-97.44062885
574,Z,NS,FM1655,N,N,,N,7.49 Miles North of BU0081C on FM1655,,The roadway is closed due to flooding. Road is closed at Montague/Wise County Line. ,224,-0.132,224,-0.132,6/18/2015 13:52,1,169,,6/18/2015 13:50,6/19/2015 17:00,33.43435784,-97.62526978
575,Z,NS,FM1655,N,N,,N,6.238 Miles South of FM0455 on FM1655,,The roadway is closed due to high water. ,222,0.995,222,0.995,6/18/2015 14:01,0,169,,6/18/2015 13:55,6/19/2015 17:00,33.45215754,-97.61696422
576,Z,NS,FM1201,Y,Y,,N,0.742 Miles East of FS1201 on FM1201,,The roadway is closed due to flooding. Use alternate routeRoad closed due to water going over spillway at Moss Lake Dam.  Road is closed and not passable.  DO NOT DRIVE INTO WATER,200,-0.107,200,-0.107,6/18/2015 21:25,0,49,,6/18/2015 21:24,6/22/2015 18:00,33.77834945,-97.21585436
577,Z,NS,FM0271,Y,Y,,N,0.638 Miles East of SH0078 on FM0271,,The roadway is closed due to high water. Water over road at Bois D Arc,212,0.556,212,0.556,6/22/2015 7:41,0,75,,6/22/2015 7:39,6/22/2015 12:00,33.55375597,-96.16544841
578,F,NS,US0096,N,N,,N,1.133 Miles West of FM0105 on US0096,,Water over roadway. water over turnaround at Jasper Co.  line,438,-0.032,438,-0.032,6/22/2015 9:29,1,101,,6/22/2015 9:25,6/29/2015 12:00,30.35651169,-94.09170834
579,F,NS,US0096,N,N,,N,2  Miles South of BU0096F,,Water over roadway. Water over turnaround at Village Creek ,448,0.55,448,0.55,6/22/2015 9:35,1,101,,6/22/2015 9:32,6/22/2015 12:00,30.28320585,-94.19466032
580,F,N,IH0069,N,N,,N,1.333 Miles East of FM2759 on IH0069,,"Frontage road only, main lanes are open. IH 69/US 59 Northbound Brazos River TURNAROUND CLOSED due to water over roadway. 
IH 69/US 59 Northbound MAIN and FRONTAGE Lanes are OPEN",536,-0.336,536,-0.336,6/22/2015 10:40,1,80,,6/22/2015 9:40,6/23/2015 12:30,29.56724791,-95.66960695
